あきのたの かりほのいほの とまをあらみ,わがころもではつゆにぬれつつ
はるすぎて なつきにけらし しろたへの,ころもほすてふあまのかぐやま
あしびきの やまどりのをの しだりをの,ながながしよをひとりかもねむ
たごのうらに うちいでてみれば しろたへの,ふじのたかねにゆきはふりつつ
おくやまに もみぢふみわけ なくしかの,こゑきくときぞあきはかなしき
かささぎの わたせるはしに おくしもの,しろきをみればよぞふけにける
あまのはら ふりさけみれば かすがなる,みかさのやまにいでしつきかも
わがいほは みやこのたつみ しかぞすむ,よをうぢやまとひとはいふなり
はなのいろは うつりにけりな いたづらに,わがみよにふるながめせしまに
これやこの いくもかへるも わかれては,しるもしらぬもあふさかのせき
わたのはら やそしまかけて こぎいでぬと,ひとにはつげよあまのつりぶね
あまつかぜ くものかよひぢ ふきとぢよ,をとめのすがたしばしとどめむ
つくばねの みねよりおつる みなのがは,こひぞつもりてふちとなりぬる
みちのくの しのぶもぢずり たれゆゑに,みだれそめにしわれならなくに
きみがため はるののにいでて わかなつむ,わがころもでにゆきはふりつつ
たちわかれ いなばのやまの みねにおふる,まつとしきかばいまかへりこむ
ちはやぶる かみよもきかず たつたがは,からくれなゐにみづくくるとは
すみのえの きしによるなみ よるさへや,ゆめのかよひぢひとめよくらむ
なにはがた みじかきあしの ふしのまも,あはでこのよをすぐしてよとや
わびぬれば いまはたおなじ なにはなる,みをつくしてもあはむとぞおもふ
いまこむと いひしばかりに ながつきの,ありあけのつきをまちいでつるかな
ふくからに あきのくさきの しをるれば,むべやまかぜをあらしといふらむ
つきみれば ちぢにものこそ かなしけれ,わがみひとつのあきにはあらねど
このたびは ぬさもとりあへず たむけやま,もみぢのにしきかみのまにまに
なにしおはば あふさかやまの さねかづら,ひとにしられでくるよしもがな
をぐらやま みねのもみぢば こころあらば,いまひとたびのみゆきまたなむ
みかのはら わきてながるる いづみがは,いつみきとてかこひしかるらむ
やまざとは ふゆぞさびしさ まさりける,ひとめもくさもかれぬとおもへば
こころあてに をらばやをらむ はつしもの,おきまどはせるしらぎくのはな
ありあけの つれなくみえし わかれより,あかつきばかりうきものはなし
あさぼらけ ありあけのつきと みるまでに,よしののさとにふれるしらゆき
やまがはに かぜのかけたる しがらみは,ながれもあへぬもみぢなりけり
ひさかたの ひかりのどけき はるのひに,しづこころなくはなのちるらむ
たれをかも しるひとにせむ たかさごの,まつもむかしのともならなくに
ひとはいさ こころもしらず ふるさとは,はなぞむかしのかににほひける
なつのよは まだよひながら あけぬるを,くものいづこにつきやどるらむ
しらつゆに かぜのふきしく あきののは,つらぬきとめぬたまぞちりける
わすらるる みをばおもはず ちかひてし,ひとのいのちのをしくもあるかな
あさぢふの をののしのはら しのぶれど,あまりてなどかひとのこひしき
しのぶれど いろにいでにけり わがこひは,ものやおもふとひとのとふまで
こひすてふ わがなはまだき たちにけり,ひとしれずこそおもひそめしか
ちぎりきな かたみにそでを しぼりつつ,すゑのまつやまなみこさじとは
あひみての のちのこころに くらぶれば,むかしはものをおもはざりけり
あふことの たえてしなくは なかなかに,ひとをもみをもうらみざらまし
あはれとも いふべきひとは おもほえで,みのいたづらになりぬべきかな
ゆらのとを わたるふなびと かぢをたえ,ゆくへもしらぬこひのみちかな
やへむぐら しげれるやどの さびしきに,ひとこそみえねあきはきにけり
かぜをいたみ いはうつなみの おのれのみ,くだけてものをおもふころかな
みかきもり ゑじのたくひの よるはもえ,ひるはきえつつものをこそおもへ
きみがため をしからざりし いのちさへ,ながくもがなとおもひけるかな
かくとだに えやはいぶきの さしもぐさ,さしもしらじなもゆるおもひを
あけぬれば くるるものとは しりながら,なほうらめしきあさぼらけかな
なげきつつ ひとりねるよの あくるまは,いかにひさしきものとかはしる
わすれじの ゆくすゑまでは かたければ,けふをかぎりのいのちともがな
たきのおとは たえてひさしく なりぬれど,なこそながれてなほきこえけれ
あらざらむ このよのほかの おもひでに,いまひとたびのあふこともがな
めぐりあひて みしやそれとも わかぬまに,くもがくれにしよはのつきかな
ありまやま ゐなのささはら かぜふけば,いでそよひとをわすれやはする
やすらはで ねなましものを さよふけて,かたぶくまでのつきをみしかな
おほえやま いくののみちの とほければ,まだふみもみずあまのはしだて
いにしへの ならのみやこの やへざくら,けふここのへににほひぬるかな
よをこめて とりのそらねは はかるとも,よにあふさかのせきはゆるさじ
いまはただ おもひたえなむ とばかりを,ひとづてならでいふよしもがな
あさぼらけ うぢのかはぎり たえだえに,あらはれわたるせぜのあじろぎ
うらみわび ほさぬそでだに あるものを,こひにくちなむなこそをしけれ
もろともに あはれとおもへ やまざくら,はなよりほかにしるひともなし
はるのよの ゆめばかりなる たまくらに,かひなくたたむなこそをしけれ
こころにも あらでうきよに ながらへば,こひしかるべきよはのつきかな
あらしふく みむろのやまの もみぢばは,たつたのかはのにしきなりけり
さびしさに やどをたちいでて ながむれば,いづこもおなじあきのゆふぐれ
ゆふされば かどたのいなば おとづれて,あしのまろやにあきかぜぞふく
おとにきく たかしのはまの あだなみは,かけじやそでのぬれもこそすれ
たかさごの をのへのさくら さきにけり,とやまのかすみたたずもあらなむ
うかりける ひとをはつせの やまおろしよ,はげしかれとはいのらぬものを
ちぎりおきし させもがつゆを いのちにて,あはれことしのあきもいぬめり
わたのはら こぎいでてみれば ひさかたの,くもゐにまがふおきつしらなみ
せをはやみ いはにせかるる たきがはの,われてもすゑにあはむとぞおもふ
あはぢしま かよふちどりの なくこゑに,いくよねざめぬすまのせきもり
あきかぜに たなびくくもの たえまより,もれいづるつきのかげのさやけさ
ながからむ こころもしらず くろかみの,みだれてけさはものをこそおもへ
ほととぎす なきつるかたを ながむれば,ただありあけのつきぞのこれる
おもひわび さてもいのちは あるものを,うきにたへぬはなみだなりけり
よのなかよ みちこそなけれ おもひいる,やまのおくにもしかぞなくなる
ながらへば またこのごろや しのばれむ,うしとみしよぞいまはこひしき
よもすがら ものおもふころは あけやらで,ねやのひまさへつれなかりけり
なげけとて つきやはものを おもはする,かこちがほなるわがなみだかな
むらさめの つゆもまだひぬ まきのはに,きりたちのぼるあきのゆふぐれ
なにはえの あしのかりねの ひとよゆゑ,みをつくしてやこひわたるべき
たまのをよ たえなばたえね ながらへば,しのぶることのよわりもぞする
みせばやな をじまのあまの そでだにも,ぬれにぞぬれしいろはかはらず
きりぎりす なくやしもよの さむしろに,ころもかたしきひとりかもねむ
わがそでは しほひにみえぬ おきのいしの,ひとこそしらねかわくまもなし
よのなかは つねにもがもな なぎさこぐ,あまのをぶねのつなでかなしも
みよしのの やまのあきかぜ さよふけて,ふるさとさむくころもうつなり
おほけなく うきよのたみに おほふかな,わがたつそまにすみぞめのそで
はなさそふ あらしのにはの ゆきならで,ふりゆくものはわがみなりけり
こぬひとを まつほのうらの ゆふなぎに,やくやもしほのみもこがれつつ
かぜそよぐ ならのをがはの ゆふぐれは,みそぎぞなつのしるしなりける
ひともをし ひともうらめし あぢきなく,よをおもふゆゑにものおもふみは
ももしきや ふるきのきばの しのぶにも,なほあまりあるむかしなりけり
